Author,Conv.,Residual,Inception,Capsule,Dense,Sep. Conv.
{\cite{Law.2017}},x,,,,,
{\cite{AlAfandy.2019}},x,,,,,
{\cite{Li.2018}},x,,,,,
{\cite{Zhao.2018}},x,,,,,
{\cite{Nejad.2017}},x,,,,,
{\cite{Chen.2018}},,x,x,,,
{\cite{Lian.2018}},x,x,,,,
{\cite{Hori.2016}},x,,,,,
{\cite{Slavkovikj.2015}},x,,,,,
{\cite{Shima.2018}},x,,,,,
{\cite{Zhu.2015}},x,,,,,
{\cite{DaoDuc.2015}},x,,,,,
{\cite{Tyas.2017}},x,,,,,
{\cite{Too.2019}},x,,,,,
{\cite{Wang.2018}},x,,,,,
{\cite{Sultana.2019}},x,x,x,x,,
{\cite{Chen.2019b}},,x,,,,
{\cite{Tensmeyer.2017}},x,,,,,
{\cite{Xiong.2019}},x,,,,,
{\cite{Madrazo.2019}},x,,,,,
{\cite{Shetty.2016}},x,,,,,
{\cite{He.2018}},,x,x,x,x,
{\cite{Alom.2018}},,,x,,,
{\cite{Bejnordi.2017}},,x,,,,
{\cite{Vaila.2019}},x,,,,,
{\cite{Stamoulis.2018}},x,,,,,
{\cite{McDonnell.2015}},x,,,,,
{\cite{Basha.2020}},x,,,,,
{\cite{Ciresan.2012}},x,,,,,
{\cite{LeHou.2015}},x,,,,,
{\cite{Mendes.2018}},,x,,,,
{\cite{Zhuang.2018}},x,,,,,
{\cite{Ju.2018}},x,,x,,,
{\cite{Zhang.2016b}},x,,,,,
{\cite{JimenezSanchez.2018}},x,,,x,,
{\cite{Afshar.2018}},,,,x,,
{\cite{Debayle.2018}},x,,,,,
{\cite{Iesmantas.2018}},,,,x,,
{\cite{Kieffer.2017}},x,,,,,
{\cite{Liu.2020}},x,,,,,
{\cite{Das.2018}},x,,,,,
{\cite{Pimkin.2018}},,x,,,x,
{\cite{Sun.2019}},x,x,x,,x,
{\cite{Gao.2017}},x,,,,,
{\cite{Leroux.2018}},x,,,,,
{\cite{Matsunaga.2017}},,x,,,,
{\cite{Castelluccio.2015}},x,,x,,,
{\cite{Blot.2016}},x,,,,,
{\cite{Zhou.2017}},x,,,,,
{\cite{Zhang.2018b}},x,,,,,
{\cite{Shen.2016}},x,,,,,
{\cite{Nazeri.2018}},x,,,,,
{\cite{Guo.2018}},x,,x,,,
{\cite{Howard.2013}},x,,,,,
{\cite{Vo.2017}},x,,,,,
{\cite{Roth.2015}},x,,,,,
{\cite{Xu.2019b}},,,,,x,
{\cite{Fuyong.2018}},x,,,,,
{\cite{Chagas.2018}},x,x,x,,,
{\cite{Shi.2019}},x,,x,,,
{\cite{Peng.2018}},,,x,,,
{\cite{Seo.2018}},,,x,,,
