Author,CNN,RNN,Transformer,Miscellaneous
{\cite{Zhou.2015}},x,x,,x
{\cite{Kabir.2019}},,,,x
{\cite{Paisios.2019}},x,,,
{\cite{Song.2018}},,,,x
{\cite{Zheng.2019}},x,x,,x
{\cite{Asim.2019}},x,,,
{\cite{Zhang.2015c}},x,,,
{\cite{Lin.2017}},x,x,,
{\cite{LeClair.2018}},,,,x
{\cite{Lan.2019}},,,x,
{\cite{Liang.2019}},x,x,,
{\cite{Vaswani.2017}},,,x,
{\cite{Zhou.2016}},x,x,,
{\cite{Lyubinets.2018}},,,,x
{\cite{Joulin.2016}},,,,
{\cite{Clark.2019}},,,x,
{\cite{Cliche.2017}},x,x,,
{\cite{Devlin.2018}},,,x,
{\cite{Baker.2016}},x,,,
{\cite{Zhang.2015}},x,,,
{\cite{Lee.2018}},x,x,,
{\cite{Kamath.2018}},x,,,
{\cite{Yin.2017}},x,x,,
{\cite{Ren.2018}},,,,x
{\cite{Amin.2018}},x,,,
{\cite{Rios.2015}},x,,,
{\cite{Li.2017}},x,,,
{\cite{Kim.2014}},x,,,
{\cite{Hassan.2018}},,,,x
{\cite{Jiang.2019}},x,x,,
{\cite{Baziotis.2017}},,x,,
{\cite{Peters.2018}},,x,,
{\cite{Liu.2018}},x,x,,
{\cite{Vinayakumar.2017}},,x,,
{\cite{Liu.2017}},x,,,
{\cite{Hassan.2017}},,x,,
{\cite{Lenc.2017}},x,,,
{\cite{Johnson.2017}},x,,,
{\cite{Iyyer.2015}},x,,,x
{\cite{Mani.2018}},,x,,
{\cite{Wang.2018b}},x,x,,x
{\cite{Hoa.2017}},x,x,,
{\cite{Johnson.2014}},x,,,
{\cite{Xiao.2016}},x,,,x
{\cite{Hassan.2017b}},x,x,,x
{\cite{Wei.2019}},x,,,
{\cite{Chen.2017}},,,,x
{\cite{Mullenbach.2018}},x,,,
{\cite{Chalkidis.2019b}},x,x,,
{\cite{Joulin.2016b}},,,,
{\cite{Kim.2019}},x,x,,
{\cite{Yogatama.2017}},x,,,x
{\cite{Yang.2016}},,,,x
{\cite{Gao.2018}},x,,,x
{\cite{Sun.2019}},,,x,
{\cite{Radford.2018}},,,x,
{\cite{Zhao.2018}},,,,x
{\cite{Shih.2017}},x,x,,
{\cite{Chalkidis.2019}},x,x,x,
{\cite{Huang.2019}},,x,,
{\cite{McCann.2017}},,x,,
{\cite{Howe.2019}},x,,x,
{\cite{Huang.2017}},,x,,
{\cite{Parwez.2019}},x,,,
{\cite{Baumel.2017}},x,,,x
{\cite{Zhang.2018}},x,,,
{\cite{Xu.2019}},,,x,
{\cite{Chalkidis.2019c}},,x,x,
{\cite{Dernoncourt.2017}},,x,,
{\cite{CamachoCollados.2017}},x,,,x
{\cite{Park.2017}},x,,,
{\cite{Hsu.2018}},x,x,,
{\cite{Kant.2018}},,x,x,
{\cite{Lai.2015}},x,,,
{\cite{Liu.2016}},,x,,
{\cite{Wang.2016}},,x,,
{\cite{Giannakopoulos.2019}},,,,x
{\cite{Adhikari.2019}},x,x,,x
{\cite{Sachan.2019}},,x,,
{\cite{Kowsari.2018}},x,x,,
{\cite{Liu.2019}},,,x,
{\cite{Arnold.2019}},,x,,
{\cite{Zhang.2019}},,,x,
{\cite{Lin.2018}},,,,x
{\cite{Johnson.2015}},x,,,
{\cite{Dai.2015}},,,,
{\cite{Madasu.2019}},,,,x
{\cite{Lee.2016}},x,x,,
{\cite{Yang.2018}},x,x,,x
{\cite{Hu.2018}},x,,,
{\cite{Joshi.2019}},,,x,
{\cite{Johnson.2016}},,,,x
{\cite{Rezaeinia.2018}},x,,,
{\cite{Zhou.2016b}},,,,x
{\cite{Zhao.2018b}},x,,,
{\cite{Xu.2016}},x,,,
{\cite{Zhang.2015b}},x,,,
{\cite{Krause.2017}},x,,,
{\cite{Liu.2019}},,,x,
{\cite{Howard.2018}},,,x,
{\cite{Cer.2018}},,,x,x
{\cite{Conneau.2016}},x,,,
{\cite{Meng.2018}},x,,,
{\cite{Chang.2019}},,,x,
{\cite{Yang.2019}},,,x,
{\cite{Srivastava.2018},,,,x}
{\cite{Kim.2018},,,,x}
{\cite{Xiao.2018},,,,x}
